nu,n,round_mode,rht,n_trials_per_cell,effect_block,effect_block_ci_low,effect_block_ci_high,effect_scale,effect_scale_ci_low,effect_scale_ci_high,interaction,interaction_ci_low,interaction_ci_high,effect_block_significant,effect_scale_significant,interaction_significant,dominant_factor
1,16,rtne,False,5000,0.0052763557368136205,-0.004851288572434508,0.014015512655827065,-0.3583959608119076,-0.3610222320199344,-0.35571384892266994,-0.0008764536044747473,-0.00605163870088059,0.003865328073856265,False,True,False,scale
1,16,rtne,True,5000,0.0017118425774413915,-0.0014439465721624233,0.004383147404343213,-0.08480848766479898,-0.08746598346198749,-0.08221964729373081,0.0013109140588154489,-0.004368574560898342,0.006296881360006364,False,True,False,scale
1,16,sr,False,5000,0.004690840633160276,-0.0027579090136062574,0.011082520423796382,-0.3574558311991165,-0.3598248076814994,-0.354993562534324,0.0003569366015376829,-0.004867749367633088,0.005038413118021216,False,True,False,scale
1,16,sr,True,5000,-0.0013040402740298607,-0.004161380959447824,0.0011550117223770224,-0.08698023799120014,-0.0894791707026322,-0.08469208179167476,0.0019691029557917794,-0.0030156110179039735,0.007324726809587911,False,True,False,scale
1,64,rtne,False,5000,-0.28607248285590225,-0.30566765528537204,-0.27473482032591345,-0.32897368322848397,-0.3361971911463855,-0.3215882993484375,-0.07241989451795305,-0.07704287657161811,-0.06823982631373161,True,True,True,scale
1,64,rtne,True,5000,-0.17043488426260733,-0.17325015804277458,-0.16763432432163694,-0.03870205260705406,-0.04200696775922177,-0.03545375485184035,-0.0321217930477089,-0.03752121347116403,-0.026224183758024776,True,True,True,block
1,64,sr,False,5000,-0.31305731649190927,-0.32805347488128145,-0.29977777354467033,-0.3486803065970059,-0.35772134315708964,-0.33981333188747453,-0.06889065199543043,-0.07297747316613129,-0.06413711227740278,True,True,True,scale
1,64,sr,True,5000,-0.1747348267128941,-0.1776300141018866,-0.17227309031358268,-0.053981440472356645,-0.057097847840675085,-0.050992659087261014,-0.02951935256181426,-0.03485013511668515,-0.024790312241715007,True,True,True,block
1,256,rtne,False,5000,-0.2697057725972507,-0.2771240633615769,-0.26081381201947407,-0.2858751163201041,-0.2973934699285174,-0.27635628757576897,-0.09736887141199624,-0.10103437879331376,-0.09315308308764857,True,True,True,scale
1,256,rtne,True,5000,-0.23080867030223384,-0.2328759738014665,-0.22876894310334964,-0.04376204615389856,-0.04840061809999283,-0.038356218278724014,-0.06973451841905653,-0.07354900436580171,-0.06542673471937623,True,True,True,block
1,256,sr,False,5000,-0.3038689490291753,-0.311576064324573,-0.2930680361859273,-0.28726334821368904,-0.30341277848042725,-0.2805454260986359,-0.09099027335983734,-0.09459967420339624,-0.0877000054622406,True,True,True,block
1,256,sr,True,5000,-0.2371505205117419,-0.24005762548559784,-0.23473580318059079,-0.06798208678378548,-0.07241309157148203,-0.06278788250178369,-0.06138912580532985,-0.06583322293395058,-0.05637344438756368,True,True,True,block
1,1024,rtne,False,5000,-0.2565160306273655,-0.26353118541582554,-0.2497319578559562,-0.27598492478503367,-0.28294631632291606,-0.26780557920257986,-0.10285230387587996,-0.10653550789383487,-0.0986624996609365,True,True,True,scale
1,1024,rtne,True,5000,-0.2673000068398257,-0.26956224423828573,-0.26507478474417573,-0.047054731591525734,-0.05871805973517452,-0.03976487801384457,-0.0882180975111706,-0.09198664534055086,-0.0848163922311371,True,True,True,block
1,1024,sr,False,5000,-0.2839248290937655,-0.2907824692729482,-0.2752942075904876,-0.2686781932857425,-0.2777807687731344,-0.2565173125094726,-0.1024721968414033,-0.10589820895033099,-0.09846894263427022,True,True,True,block
1,1024,sr,True,5000,-0.2781660402351762,-0.280650751459555,-0.2757880783215043,-0.08627270727885161,-0.0946082328626674,-0.07586011526989912,-0.06877816088557243,-0.07285789958564783,-0.06476526319990762,True,True,True,block
1,4096,rtne,False,5000,-0.24552004556067608,-0.25104842278109635,-0.2395365587530574,-0.2777409943806064,-0.28306568483749794,-0.2718718689997995,-0.09491119684714056,-0.09965273251046713,-0.0905199808470888,True,True,True,scale
1,4096,rtne,True,5000,-0.26305630759632503,-0.2664375000182229,-0.26013901160018765,-0.05233696605959759,-0.05854788211666219,-0.04774003551133069,-0.09375637990111185,-0.0971691550225663,-0.09032949804222855,True,True,True,block
1,4096,sr,False,5000,-0.26917005046053966,-0.27304703570766736,-0.262608906502005,-0.2705294558170612,-0.2782361922198573,-0.26476059898965243,-0.09643320811905243,-0.10048392068545546,-0.09214928380818081,True,True,True,scale
1,4096,sr,True,5000,-0.2844111207960056,-0.28980867446256137,-0.27983189242822887,-0.12434589556435682,-0.12997518788264,-0.11752385464991247,-0.07528516974041444,-0.07905328227034633,-0.07117641475655989,True,True,True,block
2,16,rtne,False,5000,0.01577948244138927,-0.0011174441459242956,0.03009686506805043,-0.30906674123244704,-0.3104723990791111,-0.30749957907970504,0.0019177014464726305,-0.0010499944220233022,0.005210680738634074,False,True,False,scale
2,16,rtne,True,5000,0.0020117109320283433,-0.0005960465735767354,0.004407587628315367,-0.13353073933069926,-0.134795834024288,-0.13205317531101796,-0.0006126453412642618,-0.0033311360671294367,0.0023034929663007684,False,True,False,scale
2,16,sr,False,5000,0.0010765124867080367,-0.018799571925084413,0.012133568681447148,-0.3086192555488676,-0.3103550984837931,-0.3070779780285914,-0.000296549494580578,-0.0034191102242727366,0.003033186361566641,False,True,False,scale
2,16,sr,True,5000,-0.0004720781469997881,-0.002795488627132025,0.001390822543907776,-0.12987175313662203,-0.1313444035485299,-0.12817768805465257,0.0008258309202653358,-0.0021286421368512092,0.003961684442601996,False,True,False,scale
2,64,rtne,False,5000,-0.17903027404354166,-0.1986862573391761,-0.1610079359691743,-0.34253230902170584,-0.3460992317658272,-0.3397738582735438,-0.034687573808509065,-0.037424997728871826,-0.03150050269693604,True,True,True,scale
2,64,rtne,True,5000,-0.05283937269773231,-0.05462267174214412,-0.05097831599476923,-0.10102777760193771,-0.10250479735173966,-0.09942402992851189,-0.013766746504748184,-0.016632582572524,-0.010747373501457014,True,True,True,scale
2,64,sr,False,5000,-0.17122185679065316,-0.18081106297024752,-0.15535230532949612,-0.3400833023794343,-0.34373510683886277,-0.33702025201669894,-0.030677598548321416,-0.03362280113419576,-0.027486578194668956,True,True,True,scale
2,64,sr,True,5000,-0.05522324917827426,-0.056813797754818304,-0.05350336954118166,-0.10129517579143688,-0.10292271971341792,-0.09968999711064506,-0.014697843748602502,-0.017621989386302172,-0.012026094404222636,True,True,True,scale
2,256,rtne,False,5000,-0.19815031545571848,-0.21848256911847594,-0.17780007002093656,-0.36368041207541735,-0.3720244555234982,-0.35861176709232784,-0.04332923105936093,-0.0454326592203375,-0.040626708381016674,True,True,True,scale
2,256,rtne,True,5000,-0.052197610485945845,-0.053740167516550016,-0.050666551145434995,-0.07616446078722428,-0.07763251226511174,-0.07444955498362374,-0.010796305552242202,-0.01348398892435284,-0.008042274400539907,True,True,True,scale
2,256,sr,False,5000,-0.20850670071890676,-0.2212635517608595,-0.18379929610238488,-0.36778292135568735,-0.37157521927329634,-0.36159509601478695,-0.031137917857655406,-0.03362678998240779,-0.028450244867075095,True,True,True,scale
2,256,sr,True,5000,-0.053302268586613355,-0.054796677736977085,-0.05144187189345569,-0.08197310053584994,-0.08339289164908663,-0.08046044245954719,-0.010299600486610494,-0.013204721870300095,-0.007148903755821035,True,True,True,scale
2,1024,rtne,False,5000,-0.20620838399299313,-0.2260694735613944,-0.19628176010696055,-0.3787890032938588,-0.3846746130048959,-0.36520118809546,-0.05095550581029151,-0.053365800838503875,-0.04884662091055281,True,True,True,scale
2,1024,rtne,True,5000,-0.05482936637779634,-0.056137570131217715,-0.053619032079554874,-0.05397581958835573,-0.05533462664055975,-0.052672435745353144,-0.013264111217126562,-0.01556290527265609,-0.010522328960844131,True,True,True,block
2,1024,sr,False,5000,-0.21181210738318867,-0.23029869368824407,-0.19956663035900046,-0.37220771222705684,-0.38383993284296114,-0.36273321838438305,-0.03580479062982622,-0.03801376173758353,-0.03351921553374768,True,True,True,scale
2,1024,sr,True,5000,-0.05409167377989954,-0.055676966201226086,-0.05261802152665788,-0.0635698332792276,-0.06495916198804572,-0.06216153394713473,-0.015888288697121222,-0.01845869107632807,-0.013555863178672982,True,True,True,scale
2,4096,rtne,False,5000,-0.1999771754125952,-0.21854079677565075,-0.19650402147250468,-0.38925743007191915,-0.40317677724108203,-0.3819172592071842,-0.06293800971158081,-0.06476157453177558,-0.06073265676081294,True,True,True,scale
2,4096,rtne,True,5000,-0.057980541349525794,-0.05913235115700262,-0.056789403472117514,-0.04371331999074357,-0.04506396151203518,-0.04239357865977815,-0.02216396218503558,-0.024429555881976196,-0.019959135263068785,True,True,True,block
2,4096,sr,False,5000,-0.2165179719859598,-0.22937781846152988,-0.20717626658531785,-0.38595454313063016,-0.4002279322465604,-0.3801133462220928,-0.040551440195764954,-0.0428836642615386,-0.03849025067500971,True,True,True,scale
2,4096,sr,True,5000,-0.05695022877250189,-0.05815842447096773,-0.0555548427011219,-0.055997572873657475,-0.05735612352714949,-0.05453138377824318,-0.025413212866156165,-0.0281029196628781,-0.023360647166029393,True,True,True,block
3,16,rtne,False,5000,-0.004615864455697949,-0.01182195611351844,0.01130710667837852,-0.26677942760704276,-0.2680304350735403,-0.2656137450744964,-0.002108563878591152,-0.004325023983797604,0.00016623763263251515,False,True,False,scale
3,16,rtne,True,5000,0.0014726968689036113,-0.0011331296736198924,0.004993472843181067,-0.1488594564332124,-0.15001617772928474,-0.14764632810164552,0.0007055489560752193,-0.0015076304099838054,0.0031820877804140443,False,True,False,scale
