nu,block_size,scale_format,round_mode,rht,slope,slope_ci_low,slope_ci_high,gap_from_theoretical,intercept,c_hat,bucket,positive_slope_flag,n_resamples
30,32,e4m3,sr,True,-0.48090076611483706,-0.4813906004486161,-0.48038074512780626,0.019099233885162936,-0.7103106657191678,1.658876481305701,weakening (slower decay than -0.5),False,2000
5,32,e4m3,sr,True,-0.472104365123166,-0.47250158905130085,-0.4715975229016317,0.027895634876833997,-0.6751271807217798,1.6845832229697262,weakening (slower decay than -0.5),False,2000
1,16,e4m3,sr,False,-0.13689702760539385,-0.13738570798070143,-0.1362679425306028,0.36310297239460615,-0.7457673451609905,1.1941547457200292,weakening (slower decay than -0.5),False,2000
3,16,e8m0,rtne,False,-0.44185568239557,-0.442105206205577,-0.44159531851398964,0.05814431760443001,-0.7191385828070089,1.6159262477971417,weakening (slower decay than -0.5),False,2000
gaussian,32,e4m3,sr,True,-0.48216499575958793,-0.4825679543709216,-0.48171407805198596,0.017835004240412067,-0.7142299444652342,1.6564741332888224,weakening (slower decay than -0.5),False,2000
gaussian,16,e8m0,rtne,True,-0.49441385641341573,-0.49480141566916197,-0.49402245480708507,0.005586143586584269,-0.7874890381278179,1.5376097663449362,weakening (slower decay than -0.5),False,2000
gaussian,16,e4m3,sr,False,-0.49209517662390295,-0.4925589111655832,-0.49168030558222536,0.007904823376097048,-0.7107876448750523,1.7505976242153682,weakening (slower decay than -0.5),False,2000
2,16,e8m0,sr,False,-0.35470131414113126,-0.3550266775451223,-0.35438221272996606,0.14529868585886874,-0.5890066506667155,1.6742676804036218,weakening (slower decay than -0.5),False,2000
3,32,e4m3,rtne,True,-0.44546354825046464,-0.445695224625048,-0.4452278200235192,0.054536451749535364,-0.8088148257374064,1.3933147285649574,weakening (slower decay than -0.5),False,2000
1,16,e4m3,sr,True,-0.08114024481469594,-0.08171260535442905,-0.08068435689910206,0.41885975518530405,-0.7675200020504142,1.1176860384043288,weakening (slower decay than -0.5),False,2000
1,16,e4m3,rtne,False,-0.13875137636335277,-0.13932715429783152,-0.13814845101283846,0.3612486236366472,-0.895004836447124,1.0483054531784401,weakening (slower decay than -0.5),False,2000
8,16,e4m3,rtne,False,-0.4926448453538743,-0.4930659975768763,-0.49233726828380375,0.007355154646125683,-0.8425604692654778,1.4899271229185809,weakening (slower decay than -0.5),False,2000
8,16,e8m0,sr,False,-0.48436369776140575,-0.4847952026672072,-0.4839016437259986,0.015636302238594246,-0.6101973352785526,1.8497130217291602,weakening (slower decay than -0.5),False,2000
8,32,e8m0,sr,False,-0.47618173008071707,-0.47659087430507086,-0.4758118132964505,0.02381826991928293,-0.6123318305416969,1.7611068495719358,weakening (slower decay than -0.5),False,2000
