n,block_size,scale_format,round_mode,rht,r,nu_star_low,nu_star_high,nu_star,null_result,monotone,broken_at_nu
4096,16,e8m0,rtne,False,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
4096,16,e8m0,rtne,True,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
4096,16,e8m0,sr,False,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
4096,16,e8m0,sr,True,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
4096,16,e4m3,rtne,False,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
4096,16,e4m3,rtne,True,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
4096,16,e4m3,sr,False,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
4096,16,e4m3,sr,True,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
4096,32,e8m0,rtne,False,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
4096,32,e8m0,rtne,True,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
4096,32,e8m0,sr,False,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
4096,32,e8m0,sr,True,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
4096,32,e4m3,rtne,False,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
4096,32,e4m3,rtne,True,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
4096,32,e4m3,sr,False,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
4096,32,e4m3,sr,True,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
16,16,e8m0,rtne,False,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
16,16,e8m0,rtne,True,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
16,16,e8m0,sr,False,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
16,16,e8m0,sr,True,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
16,16,e4m3,rtne,False,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
16,16,e4m3,rtne,True,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
16,16,e4m3,sr,False,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
16,16,e4m3,sr,True,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
16,32,e8m0,rtne,False,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
16,32,e8m0,rtne,True,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
16,32,e8m0,sr,False,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
16,32,e8m0,sr,True,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
16,32,e4m3,rtne,False,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
16,32,e4m3,rtne,True,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
16,32,e4m3,sr,False,8,∞,∞,"(∞, ∞)",censored_above (bound breaks at every tested nu),True,"1,2,3,5,8,15,30,gaussian"
